Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,CB 1,26.965000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
2,CB 2,26.975000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
3,CB 3,26.985000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
4,CB 4,27.005000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
5,CB 5,27.015000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
6,CB 6,27.025000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
7,CB 7,27.035000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
8,CB 8,27.055000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
9,CB 9,27.065000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
10,CB 10,27.075000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
11,CB 11,27.085000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
12,CB 12,27.105000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
13,CB 13,27.116000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
14,CB 14,27.125000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
15,CB 15,27.135000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
16,CB 16,27.155000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
17,CB 17,27.165000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
18,CB 18,27.175000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
19,CB 19,27.185000,,0.600000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
20,CB 20,27.205000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
21,CB 21,27.215000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
22,CB 22,27.225000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
23,CB 23,27.255000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
24,CB 24,27.235000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
25,CB 25,27.245000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
26,CB 26,27.265000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
27,CB 27,27.275000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
28,CB 28,27.285000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
29,CB 29,27.295000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
30,CB 30,27.305000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
31,CB 31,27.315000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
32,CB 32,27.325000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
33,CB 33,27.335000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
34,CB 34,27.345000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
35,CB 35,27.355000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
36,CB 36,27.365000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
37,CB 37,27.375000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
38,CB 38,27.385000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
39,CB 39,27.395000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
40,CB 40,27.405000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,,,,,
