Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,W9KIC,146.715000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,N4NRV,147.180000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
3,K4XE,442.075000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
4,KD4BNQ,441.950000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
5,N4HRS,444.675000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
6,KD4BNQ,444.975000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
7,KD4BNQ,146.910000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
8,KD4BNQ,147.135000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
9,W4NRV,147.375000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
10,K5JCT,442.300000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
11,W4CA,442.500000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
12,W4KZK,442.750000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
13,N4HRS,444.175000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
14,N4HRS,444.275000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
15,N4HRS,444.475000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
16,W4KZK,444.775000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
17,W4KZK,444.850000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
18,WB8BON,444.925000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
19,N2EDE,145.210000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
20,K4ARO,145.390000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
21,K4ROA,146.745000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
22,KF4RGH,146.880000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
23,W4KDN,146.940000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
24,W4CA,146.985000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
25,KD4LMZ,145.350000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
26,W4ROC,444.150000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,MONT SH,452.350000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,MONT FD,153.830000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,MONT FD,153.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,BLKSBG,155.880000,,0.000000,TSQL,100.0,100.0,023,NN,FM,5.00,,,,,,
46,BLKSBG,158.745000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,BLKSBG,158.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,BLKSBRG,451.100000,+,5.000000,TSQL,107.2,107.2,023,NN,FM,5.00,,,,,,
51,CHR EMS,451.625000,+,5.000000,TSQL,88.5,88.5,023,NN,FM,5.00,,,,,,
52,CHR FD/,153.890000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,CHR FD,153.995000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
54,CHR FIR,154.340000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
55,CHR FD/,159.060000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
58,CHR RES,452.250000,,0.000000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
64,MONT SC,155.235000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
85,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,BLUE DO,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,GREEN D,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,NOAA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
102,NOAA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
103,NOAA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
104,NOAA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
105,NOAA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
106,NOAA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
107,NOAA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
126,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
127,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
